t,NO2
2021-08-22,1.8393694e-05
2021-08-22,9.09683e-06
2021-08-22,3.65115e-06
2021-08-23,1.4741442e-05
2021-08-23,4.3114874e-06
2021-08-23,-2.3951748e-06
2021-08-23,7.1166016e-07
2021-08-24,1.1716181e-05
2021-08-24,1.929112e-05
2021-08-24,2.0188978e-05
2021-08-24,1.929112e-05
2021-08-25,2.1415402e-05
2021-08-25,2.3781931e-05
2021-08-25,2.1415402e-05
2021-08-25,1.2033058e-05
2021-08-26,1.1184679e-05
2021-08-26,1.1184679e-05
2021-08-26,1.8014367e-05
2021-08-26,1.8014367e-05
2021-08-27,2.5832676e-05
2021-08-27,nan
2021-08-27,1.735637e-05
2021-08-27,nan
2021-08-28,1.9674479e-05
2021-08-28,8.169459e-06
2021-08-28,1.9674479e-05
2021-08-28,8.169459e-06
2021-08-29,2.384588e-05
2021-08-29,1.771213e-05
2021-08-29,1.6789027e-05
2021-08-29,2.3018567e-05
2021-08-30,nan
2021-08-30,nan
2021-08-30,nan
2021-08-30,nan
2021-08-31,2.6942233e-05
2021-08-31,nan
2021-08-31,2.6942233e-05
2021-08-31,nan
2021-09-01,1.6245232e-05
2021-09-01,2.2981587e-05
2021-09-01,2.1956672e-05
2021-09-01,2.082849e-05
2021-09-02,2.0471864e-05
2021-09-02,2.4013005e-05
2021-09-02,2.0471864e-05
2021-09-02,1.9504812e-05
2021-09-03,-1.3048079e-06
2021-09-03,4.2229247e-05
2021-09-03,1.6837512e-05
2021-09-03,4.2229247e-05
2021-09-04,1.9774216e-05
2021-09-04,1.6823513e-05
2021-09-04,2.7417824e-05
2021-09-04,1.6823513e-05
2021-09-05,nan
2021-09-05,nan
2021-09-05,nan
2021-09-05,nan
2021-09-06,1.6860213e-05
2021-09-06,1.6860213e-05
2021-09-06,1.6860213e-05
2021-09-06,1.6860213e-05
2021-09-07,1.3869906e-05
2021-09-07,1.2439011e-05
2021-09-07,2.1387e-05
2021-09-07,7.3237056e-06
2021-09-08,2.9862738e-05
2021-09-08,2.0504964e-05
2021-09-08,1.3420266e-05
2021-09-08,2.0504964e-05
2021-09-09,6.318626e-06
2021-09-09,2.063868e-05
2021-09-09,6.318626e-06
2021-09-09,1.949953e-05
2021-09-10,-1.4838554e-06
2021-09-10,2.7542847e-05
2021-09-10,1.2591795e-05
2021-09-10,1.5248748e-05
2021-09-11,nan
2021-09-11,nan
2021-09-11,nan
2021-09-11,nan
2021-09-12,nan
2021-09-12,nan
2021-09-12,nan
2021-09-12,nan
2021-09-13,nan
2021-09-13,nan
2021-09-13,nan
2021-09-13,nan
2021-09-14,nan
2021-09-14,nan
2021-09-14,nan
2021-09-14,nan
2021-09-15,nan
2021-09-15,nan
2021-09-15,nan
2021-09-15,nan
2021-09-16,nan
2021-09-16,nan
2021-09-16,nan
2021-09-16,nan
2021-09-17,2.1176627e-05
2021-09-17,nan
2021-09-17,2.1176627e-05
2021-09-17,nan
2021-09-18,1.1806849e-05
2021-09-18,7.184733e-06
2021-09-18,1.1992727e-05
2021-09-18,2.1556496e-05
2021-09-19,4.6312143e-06
2021-09-19,8.0187874e-07
2021-09-19,4.6312143e-06
2021-09-19,2.0901081e-05
2021-09-20,1.6549708e-05
2021-09-20,1.531253e-05
2021-09-20,1.8304234e-05
2021-09-20,1.531253e-05
2021-09-21,nan
2021-09-21,nan
2021-09-21,nan
2021-09-21,nan
2021-09-22,nan
2021-09-22,nan
2021-09-22,nan
2021-09-22,nan
2021-09-23,nan
2021-09-23,1.0816761e-05
2021-09-23,-3.8223557e-06
2021-09-23,-1.6923928e-05
2021-09-24,nan
2021-09-24,1.5918249e-06
2021-09-24,1.3527525e-05
2021-09-24,1.5918249e-06
2021-09-25,1.1392972e-06
2021-09-25,1.0841871e-05
2021-09-25,7.716284e-06
