t,NO2,t-1,t-2,t-3,t-4,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2022-03-24,3.21899e-08,1.3425596e-05,1.143238911304348e-05,1.0767986817391305e-05,1.0103584521739131e-05,2022,3,24,3,83,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667
2022-03-24,1.2096791408695651e-05,3.21899e-08,1.3425596e-05,1.143238911304348e-05,1.0767986817391305e-05,2022,3,24,3,83,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667
2022-03-24,1.2761193704347826e-05,1.2096791408695651e-05,3.21899e-08,1.3425596e-05,1.143238911304348e-05,2022,3,24,3,83,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667
2022-03-25,1.8559037538461536e-06,1.2761193704347826e-05,1.2096791408695651e-05,3.21899e-08,1.3425596e-05,2022,3,25,4,84,1.0,6.123233995736766e-17,-0.9377521321470804,0.3473052528448203
2022-03-25,3.679617607692308e-06,1.8559037538461536e-06,1.2761193704347826e-05,1.2096791408695651e-05,3.21899e-08,2022,3,25,4,84,1.0,6.123233995736766e-17,-0.9377521321470804,0.3473052528448203
2022-03-25,5.5033314615384605e-06,3.679617607692308e-06,1.8559037538461536e-06,1.2761193704347826e-05,1.2096791408695651e-05,2022,3,25,4,84,1.0,6.123233995736766e-17,-0.9377521321470804,0.3473052528448203
2022-03-25,7.3270453153846144e-06,5.5033314615384605e-06,3.679617607692308e-06,1.8559037538461536e-06,1.2761193704347826e-05,2022,3,25,4,84,1.0,6.123233995736766e-17,-0.9377521321470804,0.3473052528448203
2022-03-26,9.15075916923077e-06,7.3270453153846144e-06,5.5033314615384605e-06,3.679617607692308e-06,1.8559037538461536e-06,2022,3,26,5,85,1.0,6.123233995736766e-17,-0.8486442574947509,0.5289640103269624
2022-03-26,1.0974473023076922e-05,9.15075916923077e-06,7.3270453153846144e-06,5.5033314615384605e-06,3.679617607692308e-06,2022,3,26,5,85,1.0,6.123233995736766e-17,-0.8486442574947509,0.5289640103269624
2022-03-26,1.2798186876923075e-05,1.0974473023076922e-05,9.15075916923077e-06,7.3270453153846144e-06,5.5033314615384605e-06,2022,3,26,5,85,1.0,6.123233995736766e-17,-0.8486442574947509,0.5289640103269624
2022-03-26,1.462190073076923e-05,1.2798186876923075e-05,1.0974473023076922e-05,9.15075916923077e-06,7.3270453153846144e-06,2022,3,26,5,85,1.0,6.123233995736766e-17,-0.8486442574947509,0.5289640103269624
2022-03-27,2.1916756146153844e-05,1.462190073076923e-05,1.2798186876923075e-05,1.0974473023076922e-05,9.15075916923077e-06,2022,3,27,6,86,1.0,6.123233995736766e-17,-0.72479278722912,0.6889669190756865
2022-03-27,1.6445614584615383e-05,2.1916756146153844e-05,1.462190073076923e-05,1.2798186876923075e-05,1.0974473023076922e-05,2022,3,27,6,86,1.0,6.123233995736766e-17,-0.72479278722912,0.6889669190756865
2022-03-27,1.8269328438461534e-05,1.6445614584615383e-05,2.1916756146153844e-05,1.462190073076923e-05,1.2798186876923075e-05,2022,3,27,6,86,1.0,6.123233995736766e-17,-0.72479278722912,0.6889669190756865
2022-03-27,2.0093042292307693e-05,1.8269328438461534e-05,1.6445614584615383e-05,2.1916756146153844e-05,1.462190073076923e-05,2022,3,27,6,86,1.0,6.123233995736766e-17,-0.72479278722912,0.6889669190756865
2022-03-28,2.374047e-05,2.0093042292307693e-05,1.8269328438461534e-05,1.6445614584615383e-05,2.1916756146153844e-05,2022,3,28,0,87,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763
2022-03-28,2.8319262e-05,2.374047e-05,2.0093042292307693e-05,1.8269328438461534e-05,1.6445614584615383e-05,2022,3,28,0,87,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763
