t,NO2
2023-12-01,
2023-12-02,
2023-12-03,
2023-12-04,
2023-12-05,1.5175728e-05
2023-12-06,
2023-12-07,1.50833985e-05
2023-12-08,
2023-12-09,2.5790316e-05
2023-12-10,
2023-12-11,
2023-12-12,2.6937621e-05
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-16,1.5945754e-05
2023-12-17,3.1226704e-05
2023-12-18,1.6770926e-05
2023-12-19,2.7857866e-05
2023-12-20,3.5373898e-05
2023-12-21,2.0925552e-05
2023-12-22,
2023-12-23,1.2123207e-05
2023-12-24,
2023-12-25,3.6503163e-05
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,2.4676188e-05
2023-12-30,
2023-12-31,-1.173787e-06
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-06,
2024-01-07,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-13,1.4418722e-05
2024-01-14,-3.9884635e-06
2024-01-15,
2024-01-16,
2024-01-17,
2024-01-18,
2024-01-19,
2024-01-20,
2024-01-21,
2024-01-22,2.6322987e-05
2024-01-23,
2024-01-24,
2024-01-25,
2024-01-26,
2024-01-27,
2024-01-28,
2024-01-29,
2024-01-30,
2024-01-31,
2024-02-01,3.602421e-05
2024-02-02,
2024-02-03,
2024-02-04,
2024-02-05,
2024-02-06,
2024-02-07,
2024-02-08,
2024-02-09,-9.190186e-06
2024-02-10,
2024-02-11,
2024-02-12,
2024-02-13,
2024-02-14,
2024-02-15,-8.0543405e-06
2024-02-16,3.537271e-05
2024-02-17,2.6677808e-05
2024-02-18,
2024-02-19,
2024-02-20,
2024-02-21,3.153845e-05
2024-02-22,
2024-02-23,
2024-02-24,
2024-02-25,
2024-02-26,1.8964512e-05
2024-02-27,
2024-02-28,
2024-02-29,
2024-03-01,
2024-03-02,
2024-03-03,3.2142834e-05
2024-03-04,
2024-03-05,
2024-03-06,
2024-03-07,
2024-03-08,
2024-03-09,
2024-03-10,
2024-03-12,
2024-03-13,
2024-03-14,
2024-03-15,
2024-03-16,
2024-03-17,
2024-03-18,
2024-03-19,1.1323394e-05
2024-03-20,
2024-03-21,
2024-03-22,
2024-03-24,
2024-03-25,
2024-03-26,4.0779933e-06
2024-03-27,2.6413793e-05
2024-03-28,
2024-03-29,1.6072725e-05
2024-03-30,1.9518786e-05
2024-03-31,
2024-04-02,
2024-04-03,9.651018e-06
2024-04-04,3.340349e-05
2024-04-05,
2024-04-06,
2024-04-07,
2024-04-08,1.340642e-05
2024-04-09,
2024-04-10,
2024-04-11,
2024-04-12,-4.788292e-06
2024-04-13,-5.7870366e-06
2024-04-14,1.2776781e-05
2024-04-15,
2024-04-16,2.718968e-05
2024-04-18,
2024-04-19,
2024-04-20,9.298548e-06
2024-04-21,
2024-04-22,
